unity_time	capture_time_ns	frame_number	gaze_validity_L	gaze_validity_R	gaze_validity_C	gaze_origin_L.x	gaze_origin_L.y	gaze_origin_L.z	gaze_origin_R.x	gaze_origin_R.y	gaze_origin_R.z	gaze_origin_C.x	gaze_origin_C.y	gaze_origin_C.z	gaze_direct_L.x	gaze_direct_L.y	gaze_direct_L.z	gaze_direct_R.x	gaze_direct_R.y	gaze_direct_R.z	gaze_direct_C.x	gaze_direct_C.y	gaze_direct_C.z	focus_distance	focus_stability	IPD_mm	left_pupil_mm	left_iris_mm	left_ratio	right_pupil_mm	right_iris_mm	right_ratio	fixationPoint.x	fixationPoint.y	fixationPoint.z	gaze_contingency_L.x	gaze_contingency_L.y	gaze_contingency_L.z	gaze_contingency_R.x	gaze_contingency_R.y	gaze_contingency_R.z	gaze_contingency_C.x	gaze_contingency_C.y	gaze_contingency_C.z
7.9900	1000676832727422500	199931	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12022	-0.05950	0.99096	-0.14729	-0.05928	0.98732	-0.00988	-0.05993	0.99815	0.24285	0.72492	61.15000	2.41693	6.32240	0.38228	2.35849	6.19585	0.38066	-0.15894	0.31411	-0.34238	-0.80180	0.21970	0.04266	-0.87900	0.20712	-0.14355	-0.84712	0.21244	-0.04346
7.9998	1000676832732442000	199932	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12014	-0.05971	0.99096	-0.14687	-0.05949	0.98737	-0.00994	-0.06014	0.99814	0.24332	0.78710	61.15000	2.42208	6.32240	0.38309	2.36083	6.19585	0.38103	-0.15941	0.31384	-0.34222	-0.80187	0.21908	0.04249	-0.87889	0.20653	-0.14325	-0.84716	0.21182	-0.04362
7.9998	1000676832737429500	199933	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12009	-0.05992	0.99095	-0.14642	-0.05970	0.98742	-0.00997	-0.06035	0.99813	0.24378	0.80532	61.15000	2.42208	6.32240	0.38309	2.36083	6.19585	0.38103	-0.15982	0.31372	-0.34205	-0.80186	0.21887	0.04245	-0.87874	0.20635	-0.14281	-0.84713	0.21161	-0.04364
7.9998	1000676832742453200	199934	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12004	-0.06011	0.99095	-0.14599	-0.05990	0.98747	-0.01002	-0.06055	0.99811	0.24423	0.82115	61.15000	2.42208	6.32240	0.38309	2.36083	6.19585	0.38103	-0.16023	0.31362	-0.34188	-0.80186	0.21867	0.04241	-0.87860	0.20617	-0.14239	-0.84712	0.21141	-0.04368
8.0100	1000676832747476900	199935	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12014	-0.06011	0.99094	-0.14554	-0.05990	0.98754	-0.00966	-0.06054	0.99812	0.24455	0.78113	61.15000	2.42594	6.32240	0.38371	2.36237	6.19585	0.38128	-0.16057	0.31349	-0.34171	-0.80194	0.21841	0.04232	-0.87857	0.20591	-0.14215	-0.84710	0.21115	-0.04355
8.0100	1000676832752474600	199936	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12006	-0.06025	0.99094	-0.14509	-0.06005	0.98760	-0.00966	-0.06069	0.99811	0.24506	0.76744	61.15000	2.42594	6.32240	0.38371	2.36237	6.19585	0.38128	-0.16102	0.31339	-0.34151	-0.80195	0.21826	0.04225	-0.87843	0.20579	-0.14171	-0.84707	0.21101	-0.04354
8.0219	1000676832757465900	199937	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.11997	-0.06038	0.99094	-0.14467	-0.06018	0.98765	-0.00964	-0.06081	0.99810	0.24554	0.82225	61.15000	2.42900	6.32240	0.38419	2.36457	6.19585	0.38164	-0.16144	0.31320	-0.34144	-0.80201	0.21780	0.04192	-0.87830	0.20537	-0.14157	-0.84706	0.21057	-0.04378
8.0219	1000676832762465200	199938	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.11983	-0.06051	0.99095	-0.14432	-0.06031	0.98769	-0.00966	-0.06094	0.99809	0.24600	0.88519	61.15000	2.42900	6.32240	0.38419	2.36457	6.19585	0.38164	-0.16186	0.31310	-0.34126	-0.80207	0.21766	0.04180	-0.87818	0.20525	-0.14123	-0.84705	0.21043	-0.04381
8.0323	1000676832767488900	199939	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.11967	-0.06062	0.99096	-0.14401	-0.06042	0.98773	-0.00967	-0.06105	0.99809	0.24644	0.88376	61.15000	2.43194	6.32240	0.38465	2.36825	6.19585	0.38223	-0.16232	0.31292	-0.34114	-0.80226	0.21729	0.04146	-0.87817	0.20491	-0.14115	-0.84715	0.21007	-0.04403
8.0323	1000676832772512600	199940	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.11946	-0.06076	0.99098	-0.14377	-0.06056	0.98776	-0.00978	-0.06120	0.99808	0.24688	0.86542	61.15000	2.43194	6.32240	0.38465	2.36825	6.19585	0.38223	-0.16272	0.31283	-0.34099	-0.80235	0.21713	0.04127	-0.87809	0.20478	-0.14091	-0.84717	0.20992	-0.04413
